MLP,Base,activation,tanh,0.9636711281070746,0.8396946564885496,0.8593272171253823,,
MLP,Base,alpha,0.00018699039697141524,0.9636711281070746,0.8396946564885496,0.8593272171253823,,
MLP,Base,hidden_layer_sizes,"(50, 50)",0.9636711281070746,0.8396946564885496,0.8593272171253823,,
MLP,Base,learning_rate,adaptive,0.9636711281070746,0.8396946564885496,0.8593272171253823,,
MLP,Base,learning_rate_init,0.0010677482709481358,0.9636711281070746,0.8396946564885496,0.8593272171253823,,
MLP,Base,solver,adam,0.9636711281070746,0.8396946564885496,0.8593272171253823,,
Bagging,Base,n_estimators,10,0.9560229445506692,0.8625954198473282,0.8868501529051988,,
Bagging,Base,max_samples,1.0,0.9560229445506692,0.8625954198473282,0.8868501529051988,,
MLP,Normalized,activation,logistic,1.0,0.8282442748091603,0.8623853211009175,,
MLP,Normalized,alpha,0.0001995054028860689,1.0,0.8282442748091603,0.8623853211009175,,
MLP,Normalized,hidden_layer_sizes,"(100, 50)",1.0,0.8282442748091603,0.8623853211009175,,
MLP,Normalized,learning_rate,adaptive,1.0,0.8282442748091603,0.8623853211009175,,
MLP,Normalized,learning_rate_init,0.008261958206863675,1.0,0.8282442748091603,0.8623853211009175,,
MLP,Normalized,solver,lbfgs,1.0,0.8282442748091603,0.8623853211009175,,
Bagging,Normalized,n_estimators,15,0.9512428298279159,0.8587786259541985,0.8960244648318043,,
Bagging,Normalized,max_samples,0.6,0.9512428298279159,0.8587786259541985,0.8960244648318043,,
