sMLP,Base,activation,logistic,0.9416826003824091,0.8778625954198473,0.8654434250764526,,
MLP,Base,alpha,0.013597172189103751,0.9416826003824091,0.8778625954198473,0.8654434250764526,,
MLP,Base,hidden_layer_sizes,"(50, 50)",0.9416826003824091,0.8778625954198473,0.8654434250764526,,
MLP,Base,learning_rate,adaptive,0.9416826003824091,0.8778625954198473,0.8654434250764526,,
MLP,Base,learning_rate_init,0.0019513967655934471,0.9416826003824091,0.8778625954198473,0.8654434250764526,,
MLP,Base,solver,adam,0.9416826003824091,0.8778625954198473,0.8654434250764526,,
Bagging,Base,n_estimators,10,0.9292543021032504,0.8664122137404581,0.8807339449541285,,
Bagging,Base,max_samples,0.8,0.9292543021032504,0.8664122137404581,0.8807339449541285,,
MLP,Normalized,activation,logistic,1.0,0.8473282442748091,0.8593272171253823,,
MLP,Normalized,alpha,0.00018031937565301124,1.0,0.8473282442748091,0.8593272171253823,,
MLP,Normalized,hidden_layer_sizes,"(100, 50)",1.0,0.8473282442748091,0.8593272171253823,,
MLP,Normalized,learning_rate,adaptive,1.0,0.8473282442748091,0.8593272171253823,,
MLP,Normalized,learning_rate_init,0.0012057860169848358,1.0,0.8473282442748091,0.8593272171253823,,
MLP,Normalized,solver,lbfgs,1.0,0.8473282442748091,0.8593272171253823,,
Bagging,Normalized,n_estimators,15,0.9550669216061185,0.851145038167939,0.8837920489296636,,
Bagging,Normalized,max_samples,0.6,0.9550669216061185,0.851145038167939,0.8837920489296636,,
